,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,XTZ-USD,2.197032125679819,9.0
1,UMA-USD,LINK-USD,0.147031723651961,12.0
2,UMA-USD,XMR-USD,0.013288272775087569,13.0
3,UMA-USD,DOGE-USD,24.908704852935102,15.0
4,UMA-USD,COMP-USD,0.03904028912847924,17.0
5,UMA-USD,CRV-USD,3.6172303433797195,12.0
6,UMA-USD,ADA-USD,3.7468045835669352,11.0
7,UMA-USD,ENJ-USD,6.01595498658342,24.0
8,UMA-USD,SNX-USD,0.5727388640903281,16.0
9,UMA-USD,EOS-USD,2.6830454742216006,14.0
10,UMA-USD,ATOM-USD,0.2029028876073119,12.0
11,SOL-USD,RUNE-USD,19.185850513571147,12.0
12,SOL-USD,DOT-USD,12.660103864964581,7.0
13,SOL-USD,ATOM-USD,9.501434387857625,16.0
14,AAVE-USD,BCH-USD,0.429570114415848,8.0
15,AAVE-USD,CELO-USD,139.843976170433,11.0
16,AAVE-USD,UNI-USD,15.194035476620753,11.0
17,ETC-USD,ADA-USD,36.00307248162149,16.0
18,ETC-USD,SUSHI-USD,17.409729280874988,12.0
19,XTZ-USD,DOGE-USD,11.327719492863466,20.0
20,XTZ-USD,COMP-USD,0.017766179342389807,15.0
21,XTZ-USD,ADA-USD,1.7042931487019473,14.0
22,XTZ-USD,XLM-USD,8.027082960954932,13.0
23,XTZ-USD,EOS-USD,1.2206370163396316,10.0
24,XTZ-USD,LTC-USD,0.014230535097603643,13.0
25,LINK-USD,XMR-USD,0.09033085774138262,13.0
26,LINK-USD,CRV-USD,24.593174691274275,9.0
27,LINK-USD,ZRX-USD,42.35346792246748,10.0
28,LINK-USD,SNX-USD,3.8956660798286484,8.0
29,LINK-USD,EOS-USD,18.23916231963086,10.0
30,LINK-USD,LTC-USD,0.21264466077581473,11.0
31,XMR-USD,DOGE-USD,1874.072258191893,10.0
32,XMR-USD,SNX-USD,43.09250527865782,12.0
33,XMR-USD,ATOM-USD,15.264394429278887,10.0
34,YFI-USD,DOGE-USD,90753.98686170453,13.0
35,YFI-USD,SNX-USD,2087.000231260759,12.0
36,DOGE-USD,ALGO-USD,0.3962649783632431,19.0
37,DOGE-USD,ADA-USD,0.15039248152790635,7.0
38,DOGE-USD,SNX-USD,0.02299466086992426,11.0
39,DOGE-USD,EOS-USD,0.1076647859581088,13.0
40,COMP-USD,ENJ-USD,153.9811576910049,12.0
41,CRV-USD,ADA-USD,1.0352855964908434,11.0
42,CRV-USD,ENJ-USD,1.6624274592841117,18.0
43,CRV-USD,EOS-USD,0.7413538699270114,11.0
44,CRV-USD,LTC-USD,0.008643389132305144,12.0
45,DOT-USD,ENJ-USD,22.26425143809462,13.0
46,CELO-USD,UNI-USD,0.10848184972456935,13.0
47,ADA-USD,ZRX-USD,1.6622942920968773,8.0
48,ADA-USD,SNX-USD,0.15287246077430916,8.0
49,ADA-USD,EOS-USD,0.7158937141886674,6.0
50,ZRX-USD,SUSHI-USD,0.29052805360366807,16.0
51,ZRX-USD,SNX-USD,0.09191586207642076,11.0
52,ZRX-USD,XLM-USD,2.830635886311899,13.0
53,ZRX-USD,EOS-USD,0.4304676598091517,9.0
54,ZRX-USD,LTC-USD,0.0050184596915497015,10.0
55,SUSHI-USD,XLM-USD,9.728958848078342,21.0
56,SUSHI-USD,EOS-USD,1.479845592548929,12.0
57,ETH-USD,XLM-USD,18125.601299126196,22.0
58,XLM-USD,EOS-USD,0.15200272968852957,20.0
59,XLM-USD,LTC-USD,0.001772425836024647,13.0
60,EOS-USD,LTC-USD,0.011655387750832902,8.0
